Account,Token Account,Quantity,Percentage
Dm4NmsBzJDJHv8rwgTEQVgXVbBFeHVeBHZpkB9gwswWw,FFT5ekzrRKPP91q5DzakL5ebXxcKPsKa8ccPTM5tgeQQ,52905.825446,0.01
Am4e2tWexXgjggWkfjWUVChXbAqhF9gVcyeCrA9znRjp,6CBzRjFEykUNjedAb1eHFvVhLgT15K1EaBtRPUbAf7G5,51861.671391,0.01
6kkWeBA42zHYkjtuc3H4dWCKoMxCZ5zB2phLRUUVxX2Y,F8khv3vurYGRWWXcudJKnYWYEooKVtaLp8ntHEiAbjno,50593.722436,0.01
omeEj5faFaKQ5jDp3eHC6KeFnwFcH9Cgwrymw2Sjv7w,7T3rDnLHYN2tXqcxhaUCiQJXgy6XKVsvP1w7fMUNAxxD,49040.690131,0.00
BDyeP5uB9VH1yuz6zkk94vjT3zPBUGscRZZu2fJxP3y,TtfiUnpUuwoZSGGLRE1eSPsmi8i52Ld1KTjKo7fRMK4,37581.622585,0.00
85tps2mTJWRVfBUiLZ5uywgSrduHhggXgriUszT3kyj3,34gV59SJ3Yjd2QUjRS627CEtcRsmeF3nBUqNEi1xBwxh,36923.996647,0.00
GP8StUXNYSZjPikyRsvkTbvRV1GBxMErb59cpeCJnDf1,5NKaxzYWNuJxCnzstDqnym49c37UrAmmcNs3rozbyt2R,35099.268321,0.00
4ySKHvmrx2i7x9MEiJerqh6XxP39tCNY84XhyohGp8aw,5cBSAsbCDQyS8m64TEhavnjPJJt9ScL9SnYXiAoJNqcR,34352.474538,0.00
FQrfzb3XJHKUSCbHdVSNVhpcSUao435mJpoy2zUzGakE,2tFZNveTrk5aMPaEJNME9eEjexR69BGXHdabpAgvMkms,31183.193218,0.00
F5Lwt9cyarSrESLEXaff17NQyTCQ9NzU9bHphSamwdEy,DqehRaL4bs7UkUcEGepMvd5HXQHA3GK8zjcNEHx8RMhQ,30090.521305,0.00
JB3ZnCtb3azPaPmoZHbFwATAJrqWYyRggR2YQRsthjo9,6Dhx2dtbbs5Mkcx9Z3VfpzNZFT7PCwz6eHN8KrrsfkJX,30000,0.00
8saqWtsQj3sZs7AXK3MBTH6EGr3LH8DqGUcTgAkMGEHa,5KPR9XBaEk5NbQsdH33LC4NQ8hnymZk5EqEa7MGBiGND,30000,0.00
HU23r7UoZbqTUuh3vA7emAGztFtqwTeVips789vqxxBw,7zRQVwTFQooq8kmhEzAa642sChCYc6Ao1brDH7M3hJpD,29462.508067,0.00
ApeUCXraGoaYgotPZFggP9fNTMYkRj74TvQRs4EtaHCP,8y5ThkbL9ZjjJnLGQo1hc7zkGTpAE6Atybs789VB8rgc,27844.266725,0.00
2eBsKVgEi1xjaNxLEVsRsHKiYr2YesnprScBTeMZYfeU,4UYmLCASG9YPVdMU6nLFWy3XSehJXdhKiHNwE5tBRkmW,23981.537002,0.00
3LoAYHuSd7Gh8d7RTFnhvYtiTiefdZ5ByamU42vkzd76,BA6YU1br2FxCmeHVkjvwqAHTBht2QV2f3N5xFLGNQ2tM,22620.292191,0.00
DSN3j1ykL3obAVNv7ZX49VsFCPe4LqzxHnmtLiPwY6xg,8vNSS4UNavecgfShCeKpSjCN6dpVPozJfsdhxisobWrR,22565.86007,0.00
3NB4hLZsne9HvThsoi36B3YmZm1JxmTrsmSskXBkCzvK,AnuErscBN4joDuhQsexqwozUDbJjnYnoq9NWQhdqJKLe,20049.461245,0.00
3CgvbiM3op4vjrrjH2zcrQUwsqh5veNVRjFCB9N6sRoD,BfJpF1DsTW8jzGm2fvkLaJjyALPnYS3Ha4KjMGVBPfJ5,18272.813473,0.00
9XoC7zvcNHWZtsHwN1sjvRBrZJ5hhyTL2LJ96zVCM3yp,2LGsTSQ7mMe2MocWwttVB2AsRV1nCnW3iNRMro7HuRuu,16819.313237,0.00
5zU2qzCdkWpDbr7RqxwYW4ZjWZJgaK8k5yaMoGcVJhxd,8aNPPCW2mDifmj2PK7tVKwwd3TPRYY5NKxiZPLZHYJpC,16167.277356,0.00
327uQbhp9WD6KrE93gn3G5awgfUC9ECiExLkFSmEQb95,7qq7SQjRNAtTFBMwSXZ7LvLkmyKeMoNB3yd5WdmZp5fN,15699.234489,0.00
6sJzPCeZJUuUW7ocNHvhso19VcvTh5SbQQLaG51XuidU,9dDjZehJpGVYYKettzrbpdDTqHBEvsbmicix97nfmAen,15000,0.00
